,Technology,Country,Capacity TYNDP,Capacity ERAA
545,Hydro - Pump Storage Closed Loop (Turbine),HR,,0.0
546,Hydro - Pump Storage Open Loop (Energy),HR,,18300.0
547,Hydro - Pump Storage Open Loop (Pumping),HR,,-246.9
548,Hydro - Pump Storage Open Loop (Turbine),HR,,281.4
549,Hydro - Reservoir (Energy),HR,,2045910.0
550,Hydro - Reservoir (Turbine),HR,,2328.09
551,Hydro - Run of River (Turbine),HR,,63.14000000000001
552,Hydro - Pondage (Energy),HU,,0.0
553,Hydro - Pondage (Turbine),HU,,0.0
554,Hydro - Pump Storage Closed Loop (Energy),HU,,0.0
555,Hydro - Pump Storage Closed Loop (Pumping),HU,,0.0
556,Hydro - Pump Storage Closed Loop (Turbine),HU,,0.0
557,Hydro - Pump Storage Open Loop (Energy),HU,,0.0
558,Hydro - Pump Storage Open Loop (Pumping),HU,,0.0
559,Hydro - Pump Storage Open Loop (Turbine),HU,,0.0
560,Hydro - Reservoir (Energy),HU,,0.0
561,Hydro - Reservoir (Turbine),HU,,0.0
562,Hydro - Run of River (Turbine),HU,,60.056
563,Hydro - Pondage (Energy),IE,,0.0
564,Hydro - Pondage (Turbine),IE,,0.0
565,Hydro - Pump Storage Closed Loop (Energy),IE,,1720.0
566,Hydro - Pump Storage Closed Loop (Pumping),IE,,-292.0
567,Hydro - Pump Storage Closed Loop (Turbine),IE,,292.0
568,Hydro - Pump Storage Open Loop (Energy),IE,,0.0
569,Hydro - Pump Storage Open Loop (Pumping),IE,,0.0
570,Hydro - Pump Storage Open Loop (Turbine),IE,,0.0
571,Hydro - Reservoir (Energy),IE,,0.0
572,Hydro - Reservoir (Turbine),IE,,0.0
573,Hydro - Run of River (Turbine),IE,,215.0
574,Hydro - Pondage (Energy),IT,,0.0
575,Hydro - Pondage (Turbine),IT,,0.0
576,Hydro - Pump Storage Closed Loop (Energy),IT,,49300.0
577,Hydro - Pump Storage Closed Loop (Pumping),IT,,-5364.0
578,Hydro - Pump Storage Closed Loop (Turbine),IT,,5250.0
579,Hydro - Pump Storage Open Loop (Energy),IT,,307600.0
580,Hydro - Pump Storage Open Loop (Pumping),IT,,-2092.0
581,Hydro - Pump Storage Open Loop (Turbine),IT,,3332.2
582,Hydro - Reservoir (Energy),IT,,5649260.0
583,Hydro - Reservoir (Turbine),IT,,9670.48197647059
584,Hydro - Run of River (Turbine),IT,,6246.142023529411
585,Hydro - Pondage (Energy),LT,,0.0
586,Hydro - Pondage (Turbine),LT,,0.0
587,Hydro - Pump Storage Closed Loop (Energy),LT,,10600.0
